date;AAAA3;BBBB3;CCCC4;DDDD3;EEEE3;FFFF3;GGGG3;ZZZZ3;YYYY3;WWWW3;HHHH3;Benchmark Mercado;Risk Free;;;;;;;;;;;;;;;;;;
30/12/16;15.329000;9.213000;18.090000;3.505000;3.719000;3.401000;5.633000;2.401000;6.080000;12.369000;2.600000;1000.000000;30.000000;;;;;;;;;;;;;;;;;;
02/01/17;14.975929;9.069362;17.647573;3.428609;3.835627;3.527033;5.819214;2.501500;6.061975;12.154432;2.586480;988.197164;30.017527;;;;;;;;;;;;;;;;;;
03/01/17;15.955492;9.551482;18.605808;3.631052;3.739747;3.551211;5.827681;2.513645;6.273995;12.663076;2.562943;1024.801445;31.103906;;;;;;;;;;;;;;;;;;
04/01/17;15.862489;9.521872;18.156385;3.545119;3.713902;3.544457;5.933152;2.538274;6.349256;12.656898;2.539364;1022.176681;31.014132;;;;;;;;;;;;;;;;;;
05/01/17;16.207703;9.621570;18.692237;3.556654;3.745470;3.839685;6.393522;2.755279;;12.902261;2.532254;1031.912675;31.290151;;;;;;;;;;;;;;;;;;
06/01/17;;9.658850;18.376259;3.565147;3.809331;3.675133;6.170671;2.684590;6.402723;13.042577;2.543649;1024.601970;30.999634;;;;;;;;;;;;;;;;;;
09/01/17;15.746907;9.544049;18.816258;3.492597;3.988107;3.608990;6.099724;2.653992;6.480377;13.060172;2.096815;1026.258016;30.997038;;;;;;;;;;;;;;;;;;
10/01/17;16.141056;9.556219;20.283486;3.424660;3.997195;3.737486;6.330930;2.732032;6.479835;13.012528;2.303770;1034.795094;31.200647;;;;;;;;;;;;;;;;;;
11/01/17;16.613523;9.682846;20.898920;3.395863;4.052862;3.589384;6.182622;2.647541;6.533821;13.007011;2.302158;1038.118003;31.251697;;;;;;;;;;;;;;;;;;
12/01/17;17.007552;9.838036;21.692269;3.536933;4.193321;3.776265;6.466188;2.794387;6.733422;13.346165;2.312517;1065.569455;32.139041;;;;;;;;;;;;;;;;;;
13/01/17;16.788755;9.696911;22.285318;3.442566;4.260171;3.662054;6.282906;2.730829;6.636729;13.110108;2.326855;1059.438638;31.898687;;;;;;;;;;;;;;;;;;
16/01/17;16.800581;9.811164;23.090954;3.462189;4.420771;3.846973;6.712004;2.898765;6.590935;13.151416;2.312894;1063.278178;31.983191;;;;;;;;;;;;;;;;;;
